Model,Accuracy,Macro_F1
Logistic Regression (Tuned),0.9686666666666667,0.9686692078313125
Linear SVM (Calibrated),0.9638333333333333,0.9638429231563023
Multinomial NB,0.8513333333333334,0.8514188853092396
